X_Value,Temperature_0,Temperature_1,Temperature_2
0,31.474867,28.358829,31.511254
0.1,31.474867,28.358829,31.511254
0.2,31.474867,28.358829,31.511254
0.3,31.592708,28.443823,31.425568
0.4,31.592708,28.443823,31.425568
0.5,31.592708,28.443823,31.425568
0.6,30.835436,28.155853,30.82604
0.7,30.835436,28.155853,30.82604
0.8,30.835436,28.155853,30.82604
0.9,29.580809,27.481655,30.509583
1,29.580809,27.481655,30.509583
1.1,29.580809,27.481655,30.509583
1.2,28.975996,27.602769,30.686735
1.3,28.975996,27.602769,30.686735
1.4,28.975996,27.602769,30.686735
1.5,29.220927,27.721984,30.919761
1.6,29.220927,27.721984,30.919761
1.7,29.220927,27.721984,30.919761
1.8,29.613262,27.800904,31.170346
1.9,29.613262,27.800904,31.170346
2,29.613262,27.800904,31.170346
2.1,30.052233,27.890889,31.342222
2.2,30.052233,27.890889,31.342222
2.3,30.052233,27.890889,31.342222
2.4,30.394912,27.952838,31.586605
2.5,30.394912,27.952838,31.586605
2.6,30.394912,27.952838,31.586605
2.7,30.868556,28.054586,31.81333
2.8,30.868556,28.054586,31.81333
2.9,30.868556,28.054586,31.81333
3,31.328135,28.151614,31.98956
3.1,31.328135,28.151614,31.98956
3.2,31.328135,28.151614,31.98956
3.3,31.651154,28.283247,32.142769
3.4,31.651154,28.283247,32.142769
3.5,31.651154,28.283247,32.142769
3.6,31.906963,28.337638,32.310734
3.7,31.906963,28.337638,32.310734
3.8,31.906963,28.337638,32.310734
3.9,32.27156,28.390614,32.493213
4,32.27156,28.390614,32.493213
4.1,32.27156,28.390614,32.493213
4.2,32.563335,28.441468,32.697938
4.3,32.563335,28.441468,32.697938
4.4,32.563335,28.441468,32.697938
4.5,32.683869,28.471368,32.856671
4.6,32.683869,28.471368,32.856671
4.7,32.683869,28.471368,32.856671
4.8,32.822676,28.499618,33.001785
4.9,32.822676,28.499618,33.001785
5,32.822676,28.499618,33.001785
5.1,33.136097,28.577538,33.223286
5.2,33.136097,28.577538,33.223286
5.3,33.136097,28.577538,33.223286
5.4,33.499804,28.677108,33.418262
5.5,33.499804,28.677108,33.418262
5.6,33.499804,28.677108,33.418262
5.7,33.726589,28.723712,33.61742
5.8,33.726589,28.723712,33.61742
5.9,33.726589,28.723712,33.61742
6,33.948642,28.791731,33.790071
6.1,33.948642,28.791731,33.790071
6.2,33.948642,28.791731,33.790071
6.3,34.108828,28.89128,33.938102
6.4,34.108828,28.89128,33.938102
6.5,34.108828,28.89128,33.938102
6.6,34.245811,28.905871,34.042789
6.7,34.245811,28.905871,34.042789
6.8,34.245811,28.905871,34.042789
6.9,34.283741,28.967995,34.10391
7,34.283741,28.967995,34.10391
7.1,34.283741,28.967995,34.10391
7.2,34.250728,28.96023,34.128498
7.3,34.250728,28.96023,34.128498
7.4,34.250728,28.96023,34.128498
7.5,34.23223,28.971525,34.13365
7.6,34.23223,28.971525,34.13365
7.7,34.23223,28.971525,34.13365
7.8,34.230357,29.007527,34.118897
7.9,34.230357,29.007527,34.118897
8,34.230357,29.007527,34.118897
8.1,34.266181,29.026116,34.132011
8.2,34.266181,29.026116,34.132011
8.3,34.266181,29.026116,34.132011
8.4,34.253771,29.065646,34.151681
8.5,34.253771,29.065646,34.151681
8.6,34.253771,29.065646,34.151681
8.7,34.327055,29.136231,34.187742
8.8,34.327055,29.136231,34.187742
8.9,34.327055,29.136231,34.187742
9,34.41836,29.217868,34.20062
9.1,34.41836,29.217868,34.20062
9.2,34.41836,29.217868,34.20062
9.3,34.461903,29.292207,34.223333
9.4,34.461903,29.292207,34.223333
9.5,34.461903,29.292207,34.223333
9.6,34.525809,29.374538,34.311603
9.7,34.525809,29.374538,34.311603
9.8,34.525809,29.374538,34.311603
9.9,34.631141,29.44134,34.380669
10,34.631141,29.44134,34.380669
10.1,34.631141,29.44134,34.380669
10.2,34.692463,29.474739,34.409698
10.3,34.692463,29.474739,34.409698
10.4,34.692463,29.474739,34.409698
10.5,34.659462,29.52507,34.426554
10.6,34.659462,29.52507,34.426554
10.7,34.659462,29.52507,34.426554
10.8,34.585265,29.528598,34.394013
10.9,34.585265,29.528598,34.394013
11,34.585265,29.528598,34.394013
11.1,34.445048,29.536594,34.294745
11.2,34.445048,29.536594,34.294745
11.3,34.445048,29.536594,34.294745
11.4,34.337123,29.552587,34.224269
11.5,34.337123,29.552587,34.224269
11.6,34.337123,29.552587,34.224269
11.7,34.25424,29.577986,34.09548
11.8,34.25424,29.577986,34.09548
11.9,34.25424,29.577986,34.09548
12,34.17135,29.639601,33.989393
12.1,34.17135,29.639601,33.989393
12.2,34.17135,29.639601,33.989393
12.3,34.074638,29.655592,33.880485
12.4,34.074638,29.655592,33.880485
12.5,34.074638,29.655592,33.880485
12.6,33.970657,29.699331,33.787728
12.7,33.970657,29.699331,33.787728
12.8,33.970657,29.699331,33.787728
12.9,33.872287,29.747536,33.661229
13,33.872287,29.747536,33.661229
13.1,33.872287,29.747536,33.661229
13.2,33.745095,29.795738,33.573608
13.3,33.745095,29.795738,33.573608
13.4,33.745095,29.795738,33.573608
13.5,33.683485,29.833358,33.410295
13.6,33.683485,29.833358,33.410295
13.7,33.683485,29.833358,33.410295
13.8,33.61086,29.938922,33.339057
13.9,33.61086,29.938922,33.339057
14,33.61086,29.938922,33.339057
14.1,33.550882,29.992053,33.26219
14.2,33.550882,29.992053,33.26219
14.3,33.550882,29.992053,33.26219
14.4,33.466532,30.05858,33.172661
14.5,33.466532,30.05858,33.172661
14.6,33.466532,30.05858,33.172661
14.7,33.433493,30.088198,33.085703
14.8,33.433493,30.088198,33.085703
14.9,33.433493,30.088198,33.085703
15,33.379598,30.189271,32.989361
15.1,33.379598,30.189271,32.989361
15.2,33.379598,30.189271,32.989361
15.3,33.335542,30.229932,32.914813
15.4,33.335542,30.229932,32.914813
15.5,33.335542,30.229932,32.914813
15.6,33.29336,30.307255,32.849169
15.7,33.29336,30.307255,32.849169
15.8,33.29336,30.307255,32.849169
15.9,33.263362,30.352142,32.802981
16,33.263362,30.352142,32.802981
16.1,33.263362,30.352142,32.802981
16.2,33.261956,30.461413,32.780707
16.3,33.261956,30.461413,32.780707
16.4,33.261956,30.461413,32.780707
16.5,33.219536,30.520157,32.721855
16.6,33.219536,30.520157,32.721855
16.7,33.219536,30.520157,32.721855
16.8,33.162348,30.612025,32.695124
16.9,33.162348,30.612025,32.695124
17,33.162348,30.612025,32.695124
17.1,33.171021,30.6865,32.66042
17.2,33.171021,30.6865,32.66042
17.3,33.171021,30.6865,32.66042
17.4,33.158833,30.785167,32.684572
